105813, 102311, "the"
69294, 65458, "of"
51464, 50437, "and"
50987, 49815, "to"
31508, 30788, "in"
29899, 29256, "a"
20759, 20413, "that"
19657, 19374, "i"
17453, 17036, "is"
16770, 16420, "it"
13953, 13469, "as"
13847, 13248, "be"
13582, 13345, "he"
13447, 13214, "with"
13381, 13210, "which"
12716, 12439, "was"
12114, 11467, "not"
11872, 11697, "by"
11793, 11610, "his"
11634, 11462, "for"
10635, 10529, "this"
9630, 9393, "or"
9220, 9163, "but"
9219, 9003, "have"
8878, 8724, "from"
8530, 8390, "my"
8435, 8323, "are"
8405, 8283, "at"
8233, 8138, "they"
7832, 7641, "you"
7610, 7494, "had"
7368, 7193, "on"
7124, 6968, "him"
6694, 6647, "their"
6597, 6519, "all"
6308, 6145, "me"
6070, 5992, "them"
5848, 5762, "we"
5651, 5606, "her"
5237, 5124, "who"
5098, 5017, "were"
5066, 4996, "so"
4991, 4833, "an"
4568, 4468, "will"
4523, 4364, "one"
4448, 4360, "our"
4441, 4413, "if"
4396, 4236, "no"
4287, 4103, "been"
4144, 4092, "any"
4118, 4009, "very"
3872, 3795, "more"
3804, 3712, "may"
3736, 3702, "when"
3730, 3679, "some"
3590, 3544, "upon"
3586, 3530, "would"
3530, 3502, "she"
3402, 3369, "has"
3386, 3268, "other"
3266, 3227, "your"
3234, 3178, "what"
3111, 3050, "should"
3104, 3045, "there"
3064, 3017, "than"
3058, 2997, "those"
3039, 2962, "into"
3020, 2991, "these"
2930, 2711, "time"
2888, 2870, "such"
2848, 2757, "shall"
2747, 2657, "great"
2595, 2412, "said"
2394, 2333, "do"
2384, 2343, "much"
2382, 2304, "man"
2328, 1892, "same"
2242, 2223, "only"
2228, 2219, "then"
2226, 2204, "us"
2213, 2163, "most"
2201, 2188, "being"
2143, 2118, "must"
2141, 2117, "every"
2110, 2084, "can"
2099, 2020, "out"
2085, 2047, "two"
2050, 2018, "could"
2042, 2016, "now"
1984, 1962, "after"
1965, 1897, "first"
1957, 1893, "mr"
1949, 1920, "made"
1941, 1883, "own"
1940, 1921, "its"
1888, 1509, "part"
1847, 1788, "am"
1844, 1826, "before"
1832, 1799, "up"
1688, 1664, "many"
1683, 1627, "well"
1678, 1676, "though"
1659, 1640, "about"
1639, 1637, "without"
1629, 1591, "did"
1611, 1537, "good"
1596, 1581, "where"
1576, 1548, "might"
1556, 1539, "little"
1534, 1527, "even"
1515, 1503, "also"
1500, 1449, "people"
1475, 1402, "day"
1444, 1432, "yet"
1428, 1407, "make"
1422, 1354, "god"
1407, 1384, "see"
1370, 1357, "never"
1348, 1302, "know"
1321, 1304, "too"
1298, 1256, "long"
1261, 1255, "having"
1259, 1149, "came"
1238, 1228, "men"
1216, 1165, "come"
1200, 1178, "how"
1189, 1101, "lord"
1176, 1171, "both"
1175, 1164, "like"
1159, 1147, "himself"
1159, 1146, "whom"
1150, 1120, "give"
1149, 1043, "power"
1133, 1110, "think"
1125, 1091, "take"
1123, 1070, "king"
1119, 1111, "therefore"
1101, 1054, "law"
1097, 1044, "whole"
1095, 1084, "here"
1088, 1072, "another"
1076, 977, "say"
1072, 1023, "life"
1066, 1040, "country"
1058, 1044, "nor"
