35981, 35347, "the"
22278, 21602, "of"
15313, 15107, "to"
14557, 14391, "and"
12428, 12273, "a"
9621, 9533, "in"
7072, 7028, "that"
6114, 6073, "it"
6012, 5950, "is"
5771, 5747, "he"
5164, 5115, "was"
4292, 4232, "as"
4164, 4141, "his"
4161, 4115, "i"
3932, 3905, "for"
3699, 3683, "with"
3532, 3446, "be"
3247, 3142, "not"
3012, 2983, "on"
2968, 2926, "you"
2965, 2963, "but"
2949, 2933, "had"
2874, 2866, "which"
2829, 2805, "at"
2681, 2664, "by"
2526, 2517, "her"
2427, 2420, "this"
2311, 2280, "have"
2161, 2152, "she"
2126, 2106, "we"
2015, 2011, "they"
2004, 1998, "from"
1939, 1933, "all"
1867, 1809, "one"
1857, 1847, "are"
1839, 1821, "an"
1793, 1784, "him"
1715, 1695, "or"
1630, 1617, "would"
1458, 1393, "no"
1446, 1445, "were"
1446, 1440, "so"
1444, 1437, "their"
1311, 1309, "has"
1308, 1302, "there"
1288, 1269, "been"
1271, 1269, "them"
1243, 1223, "out"
1204, 1189, "more"
1200, 1196, "if"
1169, 1154, "said"
1166, 1156, "me"
1151, 1141, "what"
1147, 1140, "who"
1137, 1134, "its"
1123, 1106, "only"
1105, 1085, "will"
1098, 1082, "up"
1058, 1051, "into"
1006, 1006, "when"
965, 945, "very"
939, 883, "other"
916, 904, "than"
897, 891, "my"
853, 848, "some"
852, 849, "then"
843, 835, "can"
831, 821, "could"
810, 804, "any"
791, 777, "do"
786, 765, "time"
770, 769, "upon"
767, 759, "like"
723, 716, "must"
707, 700, "just"
699, 694, "man"
698, 691, "such"
694, 694, "two"
693, 689, "us"
692, 690, "about"
684, 674, "little"
664, 659, "see"
655, 649, "over"
645, 645, "even"
640, 638, "your"
639, 620, "know"
624, 617, "may"
615, 613, "now"
610, 601, "much"
582, 542, "first"
574, 572, "our"
567, 562, "down"
561, 552, "most"
560, 551, "never"
560, 546, "back"
556, 536, "way"
553, 550, "work"
551, 545, "made"
540, 534, "say"
540, 536, "those"
539, 539, "should"
532, 528, "did"
528, 527, "these"
520, 517, "get"
513, 501, "great"
509, 506, "every"
506, 504, "new"
504, 486, "labour"
500, 499, "how"
499, 499, "where"
471, 465, "think"
463, 458, "life"
462, 458, "thought"
458, 455, "make"
456, 456, "before"
444, 440, "go"
443, 443, "after"
441, 441, "being"
441, 437, "men"
440, 417, "same"
439, 430, "well"
430, 425, "still"
429, 419, "economic"
426, 424, "himself"
425, 423, "because"
422, 418, "might"
419, 419, "through"
419, 416, "own"
415, 406, "also"
413, 397, "place"
410, 384, "value"
405, 401, "come"
405, 359, "de"
404, 394, "good"
403, 397, "between"
402, 397, "old"
399, 390, "long"
396, 393, "take"
393, 388, "here"
