61857, 61051, "the"
33648, 32801, "of"
29175, 28955, "and"
25189, 24871, "to"
21125, 20876, "a"
18303, 18116, "in"
11658, 11550, "that"
11149, 11000, "is"
9808, 9741, "it"
9653, 9559, "i"
9584, 9533, "he"
8408, 8319, "was"
8026, 7984, "his"
7941, 7810, "as"
6882, 6835, "for"
6367, 6332, "with"
5957, 5768, "be"
5908, 5708, "not"
5539, 5525, "but"
4997, 4959, "on"
4902, 4876, "at"
4828, 4808, "which"
4713, 4685, "by"
4562, 4529, "had"
4357, 4301, "have"
4343, 4328, "this"
4230, 4213, "are"
4193, 4149, "or"
4164, 4136, "we"
3939, 3909, "from"
3898, 3881, "they"
3851, 3770, "you"
3635, 3568, "one"
3282, 3237, "him"
3236, 3215, "all"
3129, 3117, "her"
3056, 3038, "so"
2836, 2807, "an"
2657, 2655, "she"
2572, 2550, "if"
2538, 2515, "there"
2507, 2498, "were"
2480, 2472, "when"
2450, 2422, "my"
2446, 2401, "me"
2403, 2389, "their"
2379, 2330, "said"
2359, 2307, "been"
2317, 2289, "would"
2317, 2261, "no"
2241, 2228, "who"
2209, 2193, "has"
2137, 2128, "them"
2104, 2076, "more"
2082, 2051, "will"
1865, 1824, "out"
1828, 1816, "what"
1817, 1812, "some"
1765, 1745, "up"
1698, 1678, "than"
1671, 1637, "do"
1649, 1644, "our"
1627, 1567, "time"
1519, 1500, "only"
1519, 1516, "its"
1492, 1477, "into"
1487, 1474, "can"
1473, 1457, "very"
1468, 1466, "then"
1458, 1454, "about"
1450, 1439, "man"
1435, 1425, "us"
1392, 1380, "may"
1389, 1378, "two"
1365, 1359, "could"
1354, 1351, "upon"
1352, 1345, "any"
1344, 1277, "other"
1296, 1285, "like"
1270, 1261, "little"
1254, 1252, "these"
1229, 1217, "much"
1192, 1183, "now"
1179, 1167, "great"
1143, 1134, "such"
1099, 1091, "over"
1098, 1065, "first"
1085, 1079, "most"
1083, 1071, "see"
1067, 1052, "made"
1024, 1021, "after"
1012, 1005, "must"
985, 985, "those"
978, 955, "good"
969, 962, "where"
967, 948, "down"
963, 951, "did"
936, 906, "know"
927, 926, "before"
910, 904, "old"
908, 896, "well"
905, 895, "should"
902, 896, "here"
902, 868, "way"
889, 874, "your"
876, 868, "never"
873, 870, "many"
872, 858, "came"
872, 859, "come"
871, 861, "own"
864, 839, "day"
863, 844, "life"
856, 853, "how"
850, 843, "long"
835, 831, "through"
824, 821, "while"
821, 816, "just"
814, 799, "go"
810, 806, "even"
807, 790, "think"
801, 763, "back"
775, 772, "being"
765, 742, "say"
763, 762, "every"
